Company Name,Primary NAICS Description,D-U-N-S@ Number,Web Address (URL),Industry,tier,concrete restoration,epoxy coatings,floor coatings,floor demo,floor demolition,floor maintenance,flooring maintenance,floor restoration,flooring restoration,surface preparation,concrete AND flooring,concrete AND surfacing,concrete AND restoration,concrete AND coating,concrete AND construction,concrete AND polishing,concrete AND painting,concrete AND demolition,concrete AND epoxy,flooring,surfacing,coating,construction,polishing,painting,demolition,epoxy
"360 SOLUTIONS, LLC",Other Management Consulting Services,08-020-3125,WWW.360SOLUTIONS.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"365 RETAIL MARKETS, LLC",Other Management Consulting Services,83-289-2595,WWW.365RETAILMARKETS.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"37 BUILDING PRODUCTS, LTD.",Other Concrete Product Manufacturing,07-962-5452,WWW.37BP.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BROMO, INC.",Residential Remodelers,01-292-7278,WWW.380COMPANIES.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA ROOFING WATERPROOFING SHEETMETAL INC,Roofing Contractors,05-883-8509,WWW.3AROOF.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3B COMMUNICATION SERVICES LLC,"All Other Professional, Scientific, and Technical Services",06-746-7471,WWW.3BCSERVICES.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THREE BLIND MEN, INC.",New Single-Family Housing Construction (except For-Sale Builders),80-915-2929,WWW.3BLINDMICEUSA.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 C CONSTRUCTION LLP,New Single-Family Housing Construction (except For-Sale Builders),84-377-1762,WWW.3CCONSTRUCTION.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3CHEM CORPORATION,Paint and Coating Manufacturing,14-014-5124,WWW.3CHEM.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3DAY FLOORING & KITCHENS,Residential Remodelers,02-419-8175,WWW.3DAYFLOORING.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3-D BAIL BONDS, INC.","All Other Professional, Scientific, and Technical Services",01-942-1879,WWW.3DBAILBONDS.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3-D BUILDERS AND DESIGN, INC.",New Single-Family Housing Construction (except For-Sale Builders),93-215-7993,WWW.3DBUILDERS.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3D CONSTRUCTION, INCORPORATED",New Single-Family Housing Construction (except For-Sale Builders),17-362-7654,WWW.3DCONSTRUCTIONWI.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 D INDUSTRIAL SALES & SERVICE, INC.",Other Management Consulting Services,04-146-6041,WWW.3DINDUSTRIALSALES.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3-D ROOF SYSTEMS, LLC",Roofing Contractors,12-274-9265,WWW.3-DROOFSYSTEMS.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GLOBAL STRATEGIC CONNECTIONS, LLC",Other Management Consulting Services,15-561-0970,WWW.3DSPARKLE.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-D TECHNICAL SERVICES COMPANY,"All Other Professional, Scientific, and Technical Services",19-750-5431,WWW.3-DTECHNICALSERVICES.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3G INDUSTRIAL ROOFING LLC,Roofing Contractors,01-663-3200,WWW.3GROOFING.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3GS, LLC",All Other Business Support Services,82-908-7613,WWW.3GSSHREDDING.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 J INC,Construction Machinery Manufacturing,78-861-4126,WWW.3JINC.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JM EXTERIORS INC.,Roofing Contractors,05-475-8049,WWW.3JMEXT.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M TONAWANDA,All Other Business Support Services,07-959-9469,WWW.3M.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3N DOCUMENT DESTRUCTION INC,All Other Business Support Services,94-391-5686,WWW.3NDD.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 PILLAR HOMES, LLC",New Single-Family Housing Construction (except For-Sale Builders),11-561-1886,WWW.3PILLAR.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 P INC,Other Management Consulting Services,79-838-1356,WWW.3PINC.NET,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THREE RIVERS CONSTRUCTION AND DEVELOPMENT,New Single-Family Housing Construction (except For-Sale Builders),78-053-2441,WWW.3RIVERSINC.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THREE RIVERS TECHNOLOGIES,Other Management Consulting Services,01-996-4225,WWW.3RIVERSTECH.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 R SALES & SERVICE INC,All Other Business Support Services,14-470-9933,WWW.3RPRESSUREWASHERS.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPLENDID INTERNATIONAL USA CORPORATION,Other Concrete Product Manufacturing,11-711-1403,WWW.3S-STONE.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 TECH LLC,All Other Business Support Services,14-675-9134,WWW.3TECHSUPPORT.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GREGORY POWELL BURGE & COMPANY III, INC.",Other Management Consulting Services,12-256-4102,WWW.401PLANS.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORPORATE UNITED INC.,All Other Business Support Services,05-949-4943,WWW.44873.GROUP23.SITES.HUBSPOT.NET,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
